Name,Count
Cities in Motion 2,57
Rise of Nations Extended Edition,57
Relic Hunters Zero,57
Game of Thrones ,57
Villagers and Heroes,57
Deadbreed,56
Shadowrun Dragonfall - Director's Cut,56
Men of War Assault Squad,56
Broforce,56
THE KING OF FIGHTERS XIII STEAM EDITION,56
Gratuitous Space Battles,56
DOOM 3 BFG Edition,56
The Bridge,56
Operation Flashpoint Red River,56
East India Company Gold,56
Velvet Sundown,56
Fallout Tactics,56
Shank,55
Boring Man - Online Tactical Stickman Combat,55
Cthulhu Saves the World ,55
Arma 2 Private Military Company,55
Darwinia,54
Football Manager 2016,54
Five Nights at Freddy's 2,54
BioShock Infinite Burial at Sea - Episode 1,54
MapleStory,54
Blood Bowl Legendary Edition,54
Divinity II Developer's Cut,54
Card Hunter,54
The Guild II,53
Guardians of Middle-earth,53
Borderlands 2 RU,53
Europa Universalis III,53
Teeworlds,53
Prototype,53
Run and Fire,53
X-COM UFO Defense,53
Forge,53
BioShock Infinite Burial at Sea - Episode 2,53
War of the Roses Kingmaker,53
Rocksmith 2014,53
The Talos Principle,53
One Finger Death Punch,53
Mortal Online,53
DOOM 3,52
Global Agenda,52
Toki Tori,52
Strike Suit Zero,52
Tomb Raider I,52
GameMaker Studio,52
Grand Theft Auto,52
Tiny and Big Grandpa's Leftovers,52
And Yet It Moves,52
Mad Max,52
Baldur's Gate Enhanced Edition,51
Bulletstorm,51
Octodad Dadliest Catch,51
Creativerse,51
Batla,51
Arma 2 British Armed Forces,51
Cities XL Platinum,51
Test Drive Unlimited 2,51
MURDERED SOUL SUSPECT,51
Dead Bits,51
FINAL FANTASY XIII,51
EVE Online,51
Trials Evolution Gold Edition,50
Stealth Inc 2,50
Pirates of Black Cove Gold,50
X3 Terran Conflict,50
C9,50
DLC Quest,50
Divine Souls,50
Infinity Wars - Animated Trading Card Game,50
Verdun,50
Magicka Holiday Spirit Item Pack ,50
Worms Ultimate Mayhem,50
Stronghold Crusader Extreme HD,50
CrimeCraft GangWars,49
Max Payne 2 The Fall of Max Payne,49
Max Payne,49
Loadout Campaign Beta,49
Duke Nukem 3D Megaton Edition,49
Game of Thrones - A Telltale Games Series,49
Penumbra Overture,49
Receiver,49
Project CARS,49
Ascend Hand of Kul,49
Dustforce,49
Viscera Cleanup Detail Santa's Rampage,49
Thinking with Time Machine,49
Resident Evil Revelations / Biohazard Revelations,49
